FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL2061,2013,7,48,0.9591,0.0068,Before,3.871201011,-0.041759934,0.708998019,0.708998019,-0.07336659
BL1002,2012,7,37.93,0.5695,0.004,Before,3.635742356,-0.562996496,0.7023705,0.7023705,0.127101126
BL0942,2012,8,56.76,1.8576,0.0131,Before,4.038831852,0.619285332,0.705211025,0.705211025,0.073873418
BL0036,2009,8,70,3.729,0.0263,Before,4.248495242,1.316140101,0.705282918,0.705282918,0.128088973
BL0061,2009,7,37,0.5247,0.0037,Before,3.610917913,-0.644928608,0.705164856,0.705164856,0.121258409
BL2271,2017,8,55,1.33,0.0094,Between,4.007333185,0.285178942,0.706766917,0.706766917,-0.163686414
BL2166,2014,7,48,1.0789,0.0076,Heatwave,3.871201011,0.075942004,0.70442117,0.70442117,0.044335348
BL2327,2017,7,64,2.558,0.0179,Between,4.158883083,0.939225703,0.699765442,0.699765442,0.025844785
BL2016,2018,7,56,2.1241,0.0148,Between,4.025351691,0.753348183,0.696765689,0.696765689,0.24925431
BL0968,2012,8,67.15,3.491,0.0243,Before,4.206928923,1.250188228,0.696075623,0.696075623,0.189542016
BL2044,2018,7,55,1.6174,0.0113,Between,4.007333185,0.480819922,0.698652158,0.698652158,0.031954566
BL2251,2016,7,57,1.728,0.012,Heatwave,4.043051268,0.54696467,0.694444444,0.694444444,-0.011380173
BL2195,2018,8,67,3.1176,0.0215,Between,4.204692619,1.137063475,0.689633051,0.689633051,0.083271757
BL0017,2009,8,78,4.7041,0.0324,Before,4.356708827,1.548434469,0.688760868,0.688760868,0.028697904
BL0927,2012,8,63.3,2.3611,0.0162,Before,4.147885329,0.859127612,0.686120876,0.686120876,-0.020544092
BL2073,2013,7,56,1.5073,0.0104,Before,4.025351691,0.410319971,0.689975453,0.689975453,-0.093773903
BL2236,2016,7,70,3.9249,0.0269,Heatwave,4.248495242,1.367340873,0.68536778,0.68536778,0.179289745
